
Note: Compatibility modes selected: hs a

Warning: m=xx on .subckt line will override multiplier m hierarchy!


Circuit: ** sch_path: /fs1/eecg/tcc/lizongh2/sky130_comparator/xschem/double_tail_comp_pex_tb.sch

option SCALE: Scale is set to 1e-06 for instance and model parameters
Reducing trtol to 1 for xspice 'A' devices
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
x1.vdd.n69                             1.79973
x1.vdd.n65                             1.79973
x1.vdd.n11                             1.79976
x1.vdd.n10                             1.79976
x1.vdd.n3                              1.79976
x1.vdd.n2                              1.79976
x1.vdd.n6                              1.79976
x1.vdd.n5                              1.79976
x1.vdd.n72                             1.79973
x1.vdd.n71                             1.79973
x1.vdd.n120                            1.79973
x1.vdd.n119                            1.79973
x1.vdd.n113                            1.79973
x1.vdd.n112                            1.79973
x1.vdd.n79                             1.79973
x1.vdd.n49                             1.79973
x1.vdd.n4                              1.79976
x1.vdd.n0                              1.79976
x1.vdd.n13                             1.79976
x1.vdd.n12                             1.79976
x1.vdd.n25                             1.79973
x1.vdd.n63                             1.79973
x1.vdd.n1                              1.79976
x1.vdd.n73                             1.79974
x1.vdd.n62                             1.79975
x1.vdd.n122                            1.79975
x1.vdd.n121                            1.79974
x1.vdd.n61                             1.79975
x1.vdd.n60                             1.79975
x1.vdd.n123                            1.79975
x1.vdd.n21                             1.79975
x1.vdd.n30                             1.79974
x1.vdd.n24                             1.79973
x1.vdd.n50                             1.79974
x1.vdd.n48                             1.79973
x1.vdd.n78                             1.79974
x1.vdd.n80                             1.79973
x1.vdd.n47                             1.79974
x1.vdd.n82                             1.79974
x1.vdd.n45                             1.79974
x1.vdd.n43                             1.79973
x1.vdd.n86                             1.79974
x1.vdd.n88                             1.79973
x1.vdd.n42                             1.79974
x1.vdd.n91                             1.79974
x1.vdd.n40                             1.79974
x1.vdd.n38                             1.79975
x1.vdd.n94                             1.79974
x1.vdd.n95                             1.79975
x1.vdd.n37                             1.79974
x1.vdd.n98                             1.79974
x1.vdd.n35                             1.79974
x1.vdd.n33                             1.79973
x1.vdd.n102                            1.79974
x1.vdd.n104                            1.79973
x1.vdd.n32                             1.79974
x1.vdd.n106                            1.79974
x1.vdd.n29                             1.79974
x1.vdd.n28                             1.79973
x1.vdd.n111                            1.79974
x1.vdd.n58                             1.79976
x1.vdd.n57                             1.79975
x1.vdd.n54                             1.79975
x1.vdd.n14                             1.79975
x1.vdd.n131                            1.79975
x1.vdd.n15                             1.79975
x1.vdd.n127                            1.79975
x1.vdd.n126                            1.79975
x1.vdd.n19                             1.79976
x1.vdd.n52                             1.79975
x1.vdd.n51                             1.79975
x1.vdd.n56                             1.79975
x1.vdd.n55                             1.79975
x1.vdd.n16                             1.79975
x1.vdd.n130                            1.79975
x1.vdd.n129                            1.79975
x1.vdd.n128                            1.79975
x1.vdd.n17                             1.79975
x1.vdd.n125                            1.79975
x1.vdd.n124                            1.79975
x1.vdd.n109                            1.79975
x1.vdd.n23                             1.79974
x1.vdd.n22                             1.79975
x1.vdd.n75                             1.79975
x1.vdd.n74                             1.79974
x1.vdd.n76                             1.79975
x1.vdd.n77                             1.79975
x1.vdd.n46                             1.79975
x1.vdd.n83                             1.79975
x1.vdd.n84                             1.79975
x1.vdd.n85                             1.79975
x1.vdd.n41                             1.79975
x1.vdd.n92                             1.79975
x1.vdd.n93                             1.79976
x1.vdd.n36                             1.79976
x1.vdd.n99                             1.79975
x1.vdd.n100                            1.79975
x1.vdd.n101                            1.79975
x1.vdd.n31                             1.79975
x1.vdd.n107                            1.79975
x1.vdd.n108                            1.79975
x1.vdd.n110                            1.79975
net9                              -0.000243837
q_bar                                 0.869664
q                                     0.874409
x2.x1.net1                             1.75899
net17                                      1.8
x2.x2.net1                             1.16331
x3.vss.t36                         4.55177e-12
x3.clk.t0                                    0
x3.a_88_n1613.t11                     0.650589
x3.vss.t35                            8.89e-05
x3.a_88_n1613.t7                      0.650589
x3.clk.t1                                    0
x3.vss.t34                         4.53829e-12
x3.vss.t33                            8.89e-05
x3.a_88_n1613.t12                     0.650589
x3.clk.t2                                    0
x3.vss.t32                         6.57594e-05
x3.vss.t31                         8.88948e-05
x3.vout_p.t3                         0.0724232
x3.di_n.t12                                1.8
x3.vss.t7                           0.00900781
x3.vss.t6                          8.88845e-05
x3.vout_p.t2                         0.0726514
x3.di_n.t13                                1.8
x3.vss.t38                           0.0141514
x3.vss.t37                         8.88919e-05
x3.a_88_n1613.t3                      0.650589
x3.vin_p.t0                           0.840896
x3.di_n.t2                                 1.8
x3.vss.t3                          8.88845e-05
x3.a_88_n1613.t28                     0.650589
x3.vin_n.t0                           0.900896
x3.di_p.t11                                1.8
x3.vss.t20                         8.88986e-05
x3.vout_p.t6                         0.0873106
x3.vout_n.t8                         0.0877812
x3.vss.t49                         1.66788e-05
x3.vss.t48                         8.88996e-05
x3.a_88_n1613.t9                      0.650589
x3.clk.t3                                    0
x3.vss.t30                         3.38255e-05
x3.vss.t29                         8.88987e-05
x3.di_p.t10                                1.8
x3.vin_n.t1                           0.900896
x3.a_88_n1613.t20                     0.650589
x3.vss.t44                         8.88918e-05
x3.vss.t11                         1.66788e-05
x3.vout_p.t8                          0.087779
x3.vout_n.t3                         0.0873109
x3.vss.t10                         8.88996e-05
x3.vdd.t34                             1.78645
x3.clk_bar.t0                                0
x3.latch.inv0.vdd                       1.7067
x3.vdd.t33                             1.79998
x3.a_88_n1613.t5                      0.650589
x3.clk.t4                                    0
x3.vss.t28                         4.53829e-12
x3.vss.t27                         8.88999e-05
x3.vout_p.t9                          0.087779
x3.vout_n.t1                          0.169302
x3.vdd.t1                              1.79998
x3.a_88_n1613.t21                     0.650589
x3.vin_p.t1                           0.840896
x3.di_n.t7                                 1.8
x3.vss.t16                         8.88971e-05
x3.vdd.t32                             1.78647
x3.clk_bar.t1                                0
x3.vdd.t31                             1.79998
x3.vss.t9                            0.0141921
x3.di_n.t14                                1.8
x3.vout_p.t1                         0.0726659
x3.vss.t8                          8.88885e-05
x3.di_p.t9                                 1.8
x3.vin_n.t2                           0.900896
x3.a_88_n1613.t2                      0.650589
x3.vss.t2                          8.88996e-05
x3.clk_bar.t2                                0
x3.vdd.t30                             1.79202
x3.vdd.t29                             1.79998
x3.clk_bar.t3                                0
x3.vdd.t28                             1.78649
x3.vdd.t27                             1.79998
x3.vss.t26                         6.57594e-05
x3.clk.t5                                    0
x3.a_88_n1613.t13                     0.650589
x3.vss.t25                         8.88947e-05
x3.vss.t53                           0.0090237
x3.di_n.t15                                1.8
x3.vout_p.t0                         0.0724948
x3.vss.t52                         8.88948e-05
x3.di_p.t8                                 1.8
x3.vin_n.t3                           0.900896
x3.a_88_n1613.t23                     0.650589
x3.vss.t50                         8.88757e-05
x3.vdd.t11                                 1.8
x3.clk.t6                                    0
x3.di_p.t0                                 1.8
x3.vdd.t10                                 1.8
x3.clk_bar.t4                                0
x3.vdd.t26                             1.78647
x3.vdd.t25                             1.79998
x3.vss.t24                         4.55177e-12
